card_key	id	card_name	card_num	card_pw	card_balance	gift_info
1	mps3718@yahoo.com	mps_card	7908 8552 2567 6846	377681	7272900	[17,24,12]
2	bgg6713@soongsil.ac.kr	bgg_card	5500 9865 7499 5952	276002	3722300	[11,15,9]
3	xit5860@soongsil.ac.kr	xit_card	3118 6085 9550 6907	349415	1193000	[30,12,7]
4	gzj7036@yahoo.com	gzj_card	6882 8523 3989 5099	532592	8791900	[32,8,17]
5	xyu4220@naver.com	xyu_card	3957 4283 5376 2536	400440	6314100	[7,18,25]
6	lyi5599@hanmail.net	lyi_card	9885 3402 1011 2581	657719	4596900	[15,24,16]
7	sys6316@soongsil.ac.kr	sys_card	2211 8658 4206 5630	548614	1725200	[32,8,16]
8	eoq8040@naver.com	eoq_card	2857 8849 9713 5051	735377	6863400	[17,3,25]
9	ygr7456@soongsil.ac.kr	ygr_card	8836 9373 5339 4524	459995	5871100	[18,28,22]
10	ric8308@google.com	ric_card	1189 5895 6138 1590	659343	45800	[19,3,1]
11	vws8476@yahoo.com	vws_card	5127 2709 8438 3304	575092	3112500	[19,7,5]
12	wkc2939@google.com	wkc_card	7821 8177 1272 9906	360937	2383600	[26,4,25]
13	afs8886@naver.com	afs_card	4372 8659 4948 6490	908443	1586300	[3,28,8]
14	nmk6301@yahoo.com	nmk_card	3979 7168 5797 1432	943364	8882400	[15,27,5]
15	ele9661@yahoo.com	ele_card	8209 8269 7384 5569	921768	3024600	[25,23,6]
16	vjg4568@yahoo.com	vjg_card	8364 7716 7616 3749	583165	5818200	[23,23,14]
17	yip1332@soongsil.ac.kr	yip_card	7094 1285 2364 8905	759710	6810900	[13,23,28]
18	day4003@soongsil.ac.kr	day_card	1588 1550 7909 6491	533127	1107500	[10,10,28]
19	wnw1837@google.com	wnw_card	6220 6943 5201 4198	120650	6133300	[29,25,1]
20	kqt2784@google.com	kqt_card	9444 5221 8375 1214	778114	4936600	[17,20,7]
21	fbt9183@google.com	fbt_card	7550 4593 5620 5477	102054	8998300	[1,1,13]
22	alp5387@google.com	alp_card	5369 1335 4205 6421	766012	5957400	[14,8,10]
23	voh1475@naver.com	voh_card	5885 7691 3744 3485	702252	6448400	[6,14,25]
